CÓDIGO DO RISCO,DESCRIÇÃO DO RISCO,CATEGORIA DO RISCO,NÍVEL DO RISCO,CLASSIFICAÇÃO DO RISCO,O QUE,QUEM,ONDE,POR QUE,COMO,INÍCIO,FIM,QUANTO,SITUAÇÃO,PERCETUAL DE EXECUÇÃO,OBSERVAÇÕES,UG,Situação Geral,Número de Ações,Quantidade de Eventos de Riscos
R.UGADM.01,Não coordenar a gestão do arquivo permanente,Operacional,MODERADO,RESIDUAL,Coordenar efetivamente a gestão do arquivo permanente,Marcela ,MTI,"Gestão de documentos em cumprimento aos Decretos Estaduais nº 1.654/97, de 29 de agosto de 1997 e 1.509/2008, de 12 de agosto de 2008, a Secretaria de Estado de Gestão, através do Arquivo Público de Mato Grosso, tem a atribuição de orientar os órgãos públicos do Estado de Mato Grosso sobre a implantação ou implementação da Política de Gestão de Documentos",Treinamento SEPLAG,01/02/2025,20/12/2025,,EM ANDAMENTO,"20,00%",O primeiro ciclo de eliminação dos documentos físicos que já cumpriram os prazos de guarda de 2025 será apresentado até o dia 30/04.,,,,
R.UGADM.02,Falta de planejamento e distribuição dos materiais de consumo,Operacional,MODERADO,RESIDUAL,"Ocorre quando não há um planejamento adequado para a aquisição e distribuição de materiais de consumo, resultando em falta de insumos para as atividades operacionais.",Marco ,MTI ,Utilizar o Sistema já utulizado pela MTI ,Realizar a contabilidade dos materiais no sistema e parametrizar as regras no Protheus juntamente com o Gestor do Sistema ,02/02/2025,21/12/2025,,EM ANDAMENTO,"20,00%",,,,,
R.UGADM.03,Não realizar manutenção predial ,Operacional,MODERADO,RESIDUAL,Formalizar o processo de Manutenção Predial ,Marcela ,MTI ,Dar suporte a equipe GETS nas demandas solicitadas.,Realizar a contratação com a empresa ,03/02/2025,22/12/2025,,EM ANDAMENTO,"20,00%","Estamos nos trâmites para a renovação da Vivo, e o processo encontra-se na UGACO. Iremos também subir a renovação da Guarani.",,,,
R.UGADM.04,"Roubo, perda ou má utilização de bens permanentes.",Operacional,ALTO,RESIDUAL,Implantação do Módulo Patrimonio no Protheus ,Marco ,MTI,Utilizar o Sistema já utulizado pela MTI ,Realizar a contabilidade dos materiais no sistema e parametrizar as regras no Protheus juntamente com o Gestor do Sistema ,04/02/2025,23/12/2025,,EM ANDAMENTO,"20,00%",,,,,
R.UGADM.05,"Falta de realização de inventário (Bens permanentes, consumo, imobiliário e intangíveis)",Operacional,ALTO,RESIDUAL,"Ocorre quando não há um processo regular de inventário para bens permanentes, de consumo, imobiliários e intangíveis, resultando em falta de controle sobre os ativos da organização.",Marco ,MTI ,"Isso acontece devido à falta de recursos humanos, ferramentas adequadas ou priorização inadequada da gestão de patrimônio.",Alimentar com todas as informações a comissão de inventário ,05/02/2025,24/12/2025,,EM ANDAMENTO,"20,00%",,,,,
R.UGCOF.01,Insatisfação do Cliente Devido à Qualidade dos Serviços ,Estratégico,MODERADO,INERENTE,Manter a regularidade fiscal da empresa,Alcindo / Gustavo ,UGCOF/GICF,Robustecer a credibilidade institucional e a qualidade das entregas das ceritidões de regularidade pela Unidade.,Efetuando apurações e monitoramentos semanais nos canais disponibilizados pela RFB/PFN e outros órgãos fiscalizadores,01/01/2025,31/12/2025,,,,,,,,
R.UGCOF.02,Insatisfação do Cliente Devido à Qualidade dos Serviços ,Estratégico,ALTO,INERENTE,Implementar software de gestão de custos,Alcindo / Djalma,UGCOF/GCCP,"Monitorar, controlar e otimizar custos, promovendo maior eficiência financeira e facilitando a tomada de decisões estratégicas com base em dados precisos.",Acompanhar o percentual de execução mensal do projeto,01/01/2025,31/12/2025,,,,,,,,
R.UGCOF.03,Redução da Margem de Lucro ,Estratégico,ALTO,INERENTE,Proceder com a revisão do Portifólio de Serviços focado em Custos,Alcindo / Djalma,UGCOF/GCCP,"Identificar oportunidades de redução de custos, otimização de recursos, aumento da eficiência e a eliminação de serviços não lucrativos ou a reformulação de estratégias para melhorar a competitividade e a margem de lucro dos serviços oferecidos.",Acompanhar o percentual de execução mensal do projeto,01/01/2025,31/12/2025,,,,,,,,
R.UGCOF.04,Redução da Margem de Lucro ,Estratégico,,INERENTE,Manter a opção por regimes e procedimentos tributarios que garantam a elisão fiscal,Alcindo / Gustavo ,UGCOF/GICF,"Otimizar a carga tributária de forma legal, promovendo maior economicidade.",Efetuando apurações e monitoramentos mensais nos canais disponibilizados pela RFB/PFN e outros órgãos fiscalizadores para detecção de oportunidades e contratação de informativos especializados,01/01/2025,31/12/2025,,,,,,,,
R.UGCOF.05,B - Descumprimento de prazos para envio de informações relativas à Conciliação Bancaria pelo setor Financeiro em detrimento do processo de compatibilização de informações entre os sistemas de gestão Publico e Privado.,Operacional,ALTO,RESIDUAL,Cumprimento de prazos,Alcindo / Gustavo / Marcio,UGOFF/UGCOF/GICF,"Ações a serem realizadas para mitigação de riscos de atrasos nos fechamentos contabeis mensais, oriundos de ausencias de informações internas. ","Com a realização da conciliação bancaria em ritmo diario ou semanal, com intuito de otimizar a data de fechamento mensal e posterior entrega à UGCOF para as devidas validações.",01/01/2025,31/12/2025,,EM ANDAMENTO,"25,00%",,,,,
R.UGCOF.06,C - Descumprimento de prazos para envio de informações relativas ao Faturamento Mensal pela GFAC em detrimento do processo de compatibilização de informações entre os sistemas de gestão Publico e Privado.,Operacional,ALTO,RESIDUAL,Cumprimento de prazos,Alcindo / Gustavo / Marcio,UGOFF/UGCOF/GICF,"Ações a serem realizadas para mitigação de riscos de atrasos nos fechamentos contabeis mensais, oriundos de ausencias de informações internas. ",Com o fechamento das informações relativas aos faturamentos do mês corrente em prazo hábil e a conferencia dos cancelamentos de documentos de competencias anteriores que servirão de creditos tributarios nas apurações tributarias do mês avaliado. ,01/01/2025,31/12/2025,,EM ANDAMENTO,"25,00%",,,,,
R.UGCOF.07,D - Analise de documento fiscal em descumprimento as normas de retenção ou creditos tributarios.,Operacional,ALTO,RESIDUAL,Legislação Tributaria,Alcindo / Gustavo,UGCOF/GICF,"Análises necessarias para liberação de um documento de entrada/saida, considerando que os mesmos interferem diretamente no montante de tributos apurado mensalmente.","Com observação a legislação tributaria, realização de atualizações constantes sobre o assunto e tratamento de erros na validação dos documentos.",01/01/2025,31/12/2025,,EM ANDAMENTO,"25,00%",,,,,
R.UGCOF.08,G - Preço dos produtos/serviços não competitivos com o mercado,Operacional,CRÍTICO,RESIDUAL,Atualização do plano de gestão de custos,Alcindo / Djalma,UGCOF/GCCP,"Necessidade de revisão dos custos dos serviços prestados, considerando folha, insumos e tributos para melhoria e adequação da apropriação dos custos e preços de venda","Com a observação nas melhores praticas de gestão de custos,realização de capacitação do pessoal responsavel e implantação de ferramentas necessarias. ",01/01/2025,31/12/2025,,EM ANDAMENTO,"25,00%",,,,,
R.UGCOF.09,"H - Descumprimento dos prazos de entrega dos Inventarios de Bens móveis, imóveis e de Consumo",Operacional,MODERADO,RESIDUAL,Gestão patrimonial,Alcindo / Olivia,UGCOF/UGADM,Necessidade do registro e classificação dos bens e suas alterações/cessões tempestivamente.,"Com a correta utilização da ferramenta de gestão de ativos, realização de ações  que mitiguem o risco de perda, dano ou extravio dos bens da empresa.",01/01/2025,31/12/2025,,NÃO INICIADA,,,,,,
R.UGOFF.01,Redução da Margem de Lucro ,Estratégico,MODERADO,INERENTE,Monitorar o sistema Infocenter,"Toda a Gerência de Unidade de Orçamento, Financeiro e Faturamento",No setor que envolve a Unidade de Gerência e os Gerentes Operacionais,Melhor e oitimizar melhor o funicionamento do sistema dentro da UGOFF,Aperfeicoamento no entendimento do Sistema,01/01/2025,31/12/2025,,,,,,,,
R.UGOFF.02,Desmotivação dos colaboradores ,Estratégico,MODERADO,INERENTE,Implementar rodizio entre as gerencias: GFAC-GEFI-GEOR / UGOFF para aprimorar os conhecimentos e otimizar trabalho em 120 dias,"Toda a Gerência de Unidade de Orçamento, Financeiro e Faturamento",No setor que envolve a Unidade de Gerência e os Gerentes Operacionais,"Reduzir a dependência excessiva de conhecimento específico em cada área
Facilitar a substituição temporária de colaboradores em casos de ausência
Aprimorar a visão global dos processos financeiros, orçamentários e faturamento","Definir as funções e responsabilidades dentro do rodízio
Criar um plano de treinamento para nivelamento inicial
Executar o Rodízio
Monitorar e avaliar a eficácia do rodízio
",01/03/2025,30/06/2025,,,,,,,,
R.UGOFF.03,A - Atraso na tramitação do processo para pagamentos.,Operacional,MODERADO,RESIDUAL,"Implementação de medidas para reduzir atrasos na tramitação dos processos de pagamento, garantindo maior eficiência e conformidade nos prazos estabelecidos.","Gerente da Unidade de Orçamento, Financeiro e Faturamento e o Gerente Operacional Financeiro","Na Unidade de Gerência de Orçamento, Financeiro e Faturamento e em demais setores envolvidos na tramitação dos processos de pagamento.","Evitar impactos negativos na operação da empresa devido a pagamentos em atraso
Cumprir obrigações contratuais e legais, evitando multas e sanções
","Mapeamento e análise do fluxo atual
Treinamento da equipe
Automação e padronização dos processos
Definição de prazos e responsabilidades
",02/01/2025,31/12/2025,,EM ANDAMENTO,"15,00%",Começamos as conversas com os fiscais de contrato e Gerentes,,,,
R.UGOFF.04,I- Inadimplência dos Clientes da MTI,Operacional,ALTO,RESIDUAL,"Implementar medidas para mitigar e reduzir a inadimplência dos clientes da MTI, garantindo maior eficiência na cobrança e regularização dos créditos pendentes","Gerente da Unidade de Orçamento, Financeiro e Faturamento e o Gerente Operacional Faturamento","Clientes da MTI
Departamento Comercial da MTI
Gerência de Faturamento","Reduzir perdas financeiras e impactos no fluxo de caixa da MTI
Garantir a sustentabilidade da empresa e a continuidade dos serviços prestados","Mapeamento da Inadimplência
Política de Cobrança Preventiva
Acompanhamento Contínuo e Medidas Corretivas",02/01/2025,31/12/2025,,EM ANDAMENTO,"15,00%",Aperfeiçoamento dos relatórios; envio de cartas de notificações para as UOs.,,,,
R.UGOFF.05,Contingenciamento ou Corte de Recursos Orçamentários,Operacional,MODERADO,INERENTE,"Mitigar os impactos do contingenciamento ou corte de recursos orçamentários, garantindo a continuidade das operações e cumprimento das obrigações financeiras da empresa","Gerência da Unidade, Gerência Operacional do Orçamento, Diretoria Administrativa","Na MTI, abrangendo todas as áreas impactadas pelo orçamento, especialmente aquelas com compromissos financeiros essenciais e projetos estratégicos","Para garantir que a empresa continue operando de maneira eficiente, mesmo diante da redução de orçamento, minimizando impactos negativos nos serviços prestados, nos contratos vigentes e no cumprimento de obrigações legais ","Monitoramento Contínuo do Orçamento
Priorização de Despesas
Negociação com Órgãos Superiores
Adoção de Medidas de Eficiência",02/01/2025,31/12/2025,,EM ANDAMENTO,"20,00%",Monitoramento do orçamento analisando todas as fontes; reunião com o Secretário Adjunto para informar o posicionamento dos recursos orçamentários. Acompanhamento dos recebimentos dos recursos com o objetivo de acompanhar e monitorar frustrações de receitas,,,,
R.UGOFF.06,Subestimação ou Superestimação do Orçamento,Operacional,ALTO,INERENTE,"Implementação de medidas para aprimorar a estimativa orçamentária, garantindo maior precisão nos valores previstos","Gerência da Unidade, Gerência de Orçamento, Diretorias responsáveis e Unidades demandantes","Na MTI, em reuniões de validação do orçamento com os gestores internos","Para garantir alinhamento do orçamento com a realidade da execução financeira
Para prevenir falta ou excesso de alocação de recursos, comprometendo a eficiência operacional","Adoção de ferramentas tecnológicas para análise de dados e projeções financeiras mais precisas
Realização de reuniões periódicas com áreas envolvidas para validação e ajustes das previsões
Monitoramento contínuo do orçamento durante o exercício financeiro, com ajustes conforme necessário",02/01/2025,31/12/2025,,EM ANDAMENTO,"20,00%",Monitorar as solicitações de Termos de Referência e pedidos novos de despesas e verificar junto ao orçamento se o recurso foi programado no Plano de Trabalho Anual.,,,,
R.UGOFF.07,Erros na Emissão de Faturas e Notas Fiscais,Operacional,ALTO,INERENTE,"Implementação de medidas corretivas e preventivas para minimizar erros na emissão de faturas e notas fiscais, garantindo a conformidade com normas e regulamentos","Gerência de Faturamento, juntamente com a área da Diretoria Comercial da MTI","Nos processos internos da  MTI, abrangendo setores de faturamento, financeiro e área comercial.","Reduzir riscos financeiros e administrativos causados por erros em notas fiscais
Melhorar a eficiência operacional e a credibilidade da empresa","Revisão dos processos de faturamento
Implementação de checklists e validação dupla
Automatização de verificações",02/01/2025,31/12/2025,,EM ANDAMENTO,"20,00%","A GFAC está monitorando os pedidos de faturamento e analisando se o pedido está certo para o Faturamento. Caso não esteja de acordo, o processo é devolvido para a Diretoria Comercial",,,,
DTIC,,,,,,,,,,,,,,,,,,,
R.UGITI.01,Insatisfação do Cliente Devido à Qualidade dos Serviços ,Estratégico,,,Atender 80% dos incidentes dentro do SLA,TODAS A GERENCIAS OPERACIONAIS,UGITI,,Abrindo discussão da melhoria do processo de atribuição dos incidentes e tratamento; Melhorar SLA do início de atendimento,,,,,,,,,,
R.UGITI.02,Redução da Margem de Lucro ,Estratégico,,,Apoiar no levantamento técnico na composição de custos das soluções corporativas - FINOPS,UGITI,,,,,,,,,,,,,
R.UGITI.03,Falhas em Infraestrutura com indisponibilidade dos serviços de TIC ,Estratégico,,,Implementar melhorias no sistema de refrigeração e eletrificação do atual datacenter,GPAC,DATACENTER,Garantir a disponibilidade dos serviços prestados pela MTI,"Aberto OS para o fornecedor GREEN4T, realizar a substituição do sistema de refrigeração do Datacenter, a partir do contrato existente",,,,,,,,,,
R.UGITI.04,Falhas em Infraestrutura com indisponibilidade dos serviços de TIC ,Estratégico,,,Implantar Link Dedicado com Parceiro Zadara para melhorar latencia na nuvem pública,Zadara,MTI,,"Validar alteração de Catálo de Serviços da Parceria, com a inclusão da disponibilidade de link dedicado para comunicação com Datacenter de nuvem pública do Parceiro",,,,,,"Aberto a discussão com o parceiro, necessário validar fornecedores com capacidade de realizar a entrega",,,,
R.UGITI.05,Falhas em Infraestrutura com indisponibilidade dos serviços de TIC ,Estratégico,,,Iniciar e estruturar tratativas de segundo site no parque tecnologico de MT,UGITI,UGITI,,Elaborar Estudo Técnico Preliminar para avaliar as alternativas para construção do Site secundário da MTI,,,,,,,,,,
R.UGITI.06,Ataques Cibernéticos ,Estratégico,,,Implementar melhorias de segurança a partir dos relatórios de vulnerabilidade - tenable - para INFOVIA,GRCO,GRCO,,"Operacionalizar a implentação de melhorias de segurança nos ativos de rede, conforme apontamentos e análise dos relatórios de vulnerabilidades.",01/03/2025,31/12/2025,,,,Aguardando definição do processo de Encaminhamento do Relatório de  Vulnerabilidades e análise dos riscos pelo Setor competente,,,,
R.UGITI.07,Baixa performance nos equipamentos de processamento de dados;,,ALTO,RESIDUAL,Substituir Parque Computacional obsoleto,GPAC,MTI,Garantir a integridade dos dados e disponiblidade dos serviços de TI,Aquisição de novos servidores para composição do parque computacional através da Adesão ao LOTE 02 da ARP RedHat,01/01/2025,15/04/2025,,EM ANDAMENTO,"45,00%",Aguardando assinatura do Contrato; processo na GCTO,,,,
R.UGITI.08,Indisponibilidade do ambiente de hospedagem (colocation),,ALTO,RESIDUAL,Executar Retrofit do Espaço Físcio do DC,GPAC,MTI,Garantir a integridade dos dados e disponiblidade dos serviços de TI,"Realizar a contratação de serviços de engenharia para elaboração de Projetos de Retrofi do DC, que compreendam as necessidade de Refrigeração, Elétrica, Combate e prevenção de incêndio, Monitoramento e automação (DCIM);
Após projetos disponíveis realizar a priorização, para contratação das execuções ",01/02/2024,31/12/2024,,EM ANDAMENTO,"50,00%","ABerto OS para  Green4T executar a parte do projeto de climatização; 

PRJ0092737",,,,
R.UGITI.09,Indisponibilidade no Ambiente de Virtualização;,,,RESIDUAL,Substituir Parque Computacional obsoleto,GPAC,MTI,Garantir a integridade dos dados e disponiblidade dos serviços de TI,Adesão ao LOTE 2 ARP REDHAT; ,01/01/2025,15/04/2025,,EM ANDAMENTO,"45,00%",Aguardando assinatura do Contrato; processo na GCTO,,,,
R.UGITI.10,Indisponibilidade dos serviços de internet,Operacional,,RESIDUAL,Ampliar a capacidade dos links de internet do AS,GRCO,MTI,Garantir a continuidade dos processos de negócio do Estado de Mato Grosso,Adtivo contratual com os provedores de Internet do AS para aumento da capacidade do LINK de internet,01/12/2023,15/04/2024,,CONCLUÍDA,"100,00%",,,,,
R.UGITI.11,"Indisponibilidade de comunicação na rede Infovia
e rede Core (incluindo rede de acesso - Datacenter)",,,RESIDUAL,Subustituição de todo o parque de Ativos de Rede CORE,GRCO,MTI,Garantir a continuidade dos serviços de conectividade  do Datacenter e da Rede Infovia,Executar o Projeto de Implantação da Rede Core SDN (Spine/Leaf) licitada em 2023,05/12/2023,30/04/2025,,EM ANDAMENTO,"38,98%","Projeto em andamento, acompanhamento: 
PRJ0018599",,,,
R.UGITI.12,Indisponibilidade do Ambiente de Balanceamento,Operacional,,RESIDUAL,Finalizar projeto de migração dos Virtual Servers (VS) do ambiente legado para novo,GABD,MTI,Garantir a disponibilidade e segurança das aplicações mantidas pela MTI,"Emitir OS para o contratado realizar as ações de configuração e finalização do projeto de migração, consequentemente desativar ambiente legado",01/01/2024,31/05/2025,,CONCLUÍDA,"100,00%",,,,,
R.UGITI.13,Baixa performance no uso das aplicações,Operacional,,RESIDUAL,ampliar uso da ferramenta de monitoramento de performance de aplicações (APM),GABD,MTI,Garantir a disponibilidade e segurança das aplicações mantidas pela MTI,Necessário atualização contratual. Renovação com Aditivo ou nova contratação;,10/05/2024,31/12/2025,,EM ANDAMENTO,"5,00%","Avaliando a inclusão no processo de contratação de NOC

PRJ0115961
",,,,
R.UGITI.14,"Indisponibilidade da Plataforma de
 Container - RedHat Openshift.",,,RESIDUAL,Manter equipe capacitada na operacionalização da solução de containers,GABD,MTI,Garantir a disponibilidade das aplicações mantidas pela MTI,Adesão ao LOTE 1 ARP REDHAT; ,01/03/2024,31/07/2025,,EM ANDAMENTO,"1000,00%",Adesão autorizada para segundo Semestre,,,,
R.UGSTI.01,Insatisfação do Cliente Devido à Qualidade dos Serviços  ,Estratégico,CRÍTICO,RESIDUAL,"Customizar 100% dos Formulários de Incidentes e Requisição de Serviços para áreas corretas, conforme catálogo de serviços",UGSTI,ServiceNow,"Identificar falhas e áreas de melhoria. Quando os clientes não estão satisfeitos com a qualidade dos serviços, isso pode levar à perda de fidelidade, redução de vendas e danos à reputação da empresa. ","Utilizando o contrato com a VA, - Service Now, para customização e atualização dos formulários, buscando a melhoria contínua. ",01/01/2025,31/12/2025,"R$ 17.000,00",,,,,,,
R.UGSTI.02,Insatisfação do Cliente Devido à Qualidade dos Serviços  ,Estratégico,CRÍTICO,RESIDUAL,Garantir 75% de satisfação na entrega dos circuitos do MTI CONNECT,UGSTI,ServiceNow,"Identificar falhas e áreas de melhoria. Quando os clientes não estão satisfeitos com a qualidade dos serviços, isso pode levar à perda de fidelidade, redução de vendas e danos à reputação da empresa. ",Plano de ação mensal para avaliação das entregas dos pontos instalados. Será realizada visitas quinzenais nos pontos instalados em Cuiabá/Varzea Grande e mensais em regiões do interior do estado.,01/01/2025,31/12/2025,,,,,,,,
R.UGSTI.03,Insatisfação do Cliente Devido à Qualidade dos Serviços ,Estratégico,CRÍTICO,RESIDUAL,Aperfeiçoar Processo para Elevar para 80% a resolução de incidentes dentro do SLA,UGSTI,ServiceNow,"Identificar falhas e áreas de melhoria. Quando os clientes não estão satisfeitos com a qualidade dos serviços, isso pode levar à perda de fidelidade, redução de vendas e danos à reputação da empresa. ","Utilizando o contrato com a VA - ServiceNow, realizar a customização e atualização contínua dos formulários, visando aprimorar a experiência do usuário e a eficiência dos processos. O acompanhamento constante dos incidentes, com comunicação diária com os Gerentes Operacionais para garantir a resolução ágil e eficaz das demandas. A busca pela melhoria contínua é mantida por meio da análise e implementação de melhorias nas funcionalidades do sistema.",01/01/2025,31/12/2025,"R$ 17.000,00",,,,,,,
R.UGSTI.04,Parada de Firewall (UGGDC),Operacional,MODERADO,RESIDUAL,Fazer cópias quinzenais das VMs que hospedam a ferramenta; Monitorar status de funcionamento dos firewalls gerenciados pela GSUP,GSUP,Vcenter MTI,Para ter como restaurar em caso de dano no ambiente original; Para acompanhar a disponibilidade dos firewalls,"Registrando chamado para a equipe que gere a Vcenter que hospeda a solução para agendar a execução do procedimento mensalmente; Através do acompanhamento de disponibilidade de funcionamento dos firewalls, gerados pela monitoria do Zabbix.
",01/01/2024,31/12/2024,,EM ANDAMENTO,"41,66%",,,,,
R.UGSTI.05,Parada do Servidor do Antivirus (UGGDC),Operacional,ALTO,RESIDUAL,Fazer cópias mensais das VMs que hospedam a ferramenta,GSUP,Vcenter MTI,Para ter como restaurar em caso de dano no ambiente original. Assegurar o bom funcionamento da ferramenta e evitar que a ferramenta fique sem analista para futuras manutenções e/ou atualizações.,"Registrando chamado para a equipe que gere a Vcenter que hospeda a solução para agendar a execução do procedimento mensalmente
",01/01/2024,31/12/2024,,EM ANDAMENTO,"41,66%",,,,,
R.UGSTI.06,Baixa adesão Suporte do Google Workspace,Operacional,ALTO,RESIDUAL,Capacitar técnicos e analistas em trilhas de conhecimento das ferramentas do Google Workspace ,UGSTI,MTI,Assegurar o bom funcionamento da solução e prestar um melhor atendimento aos usuários sobre as ferramentas disponibilizadas pela solução de colaboração,Através da realização de treinamentos e compartilhamento de conhecimento dentro das equipes  conforme o plano de capacitação da MTI e busca de auxílio por parte da parceria Google,01/01/2024,01/07/2024,,EM ANDAMENTO,"10,00%",,,,,
R.UGSTI.07,Parada de ativos de rede da MTI (ex: switches),Operacional,ALTO,RESIDUAL,Monitorar proativamento os status de funcionamento dos ativos de rede da MTI,GSUP,MTI,Para acompanhar a disponibilidade dos ativos de rede,"Através do acompanhamento de disponibilidade de funcionamento dos ativos de rede, gerados pela monitoria do Zabbix",01/01/2024,31/12/2024,,EM ANDAMENTO,"41,66%",,,,,
R.UGSTI.08,Perda de backups Firewall´s,Operacional,ALTO,RESIDUAL,"Certificar junto a GPAC a realização e o armazenamento dos backups (diários, semanais e mensais dos arquivos e sistemas sensíveis).Realizar testes regulares mensais para se certificar que as cópias de segurança estão operacionais.",GSUP,MTI,"Assegurar disponibilidade das cópias de segurança de informações, dados e apps de utilização da UGSTI. Assegurar que as cópias de segurança realizadas estão operacionais.",Informar sempre que necessário a equipe responsável pelo ambiente de hospedagem das soluções e ferramentas de utilização da UGSTI sobre as necessidades de cópias recorrentes e das eventuais para se evitar perda de dados ou parada de serviços. Realizar restauração sistemática amostral de backups realizados de forma a se assegurar de que os mesmos estejam operacionais.,01/01/2024,31/12/2024,,EM ANDAMENTO,"41,66%",,,,,
R.UGSTI.09,Indisponibilidade de ativos de TI por ausência de equipamentos e peças reservas,Operacional,ALTO,RESIDUAL,Assegurar a disponibilidade de equipamentos reservas e peças sobressalentes,UGSTI,MTI,Para que sempre se tenha equipamentos e peças de reserva para que não haja parada crítica das atividades da empresa ou de seus clientes,"1- Confecção de novo termo de referência para aquisição de peças para manutenção;
2- Adquirir equipamentos e peças para assegurar continuidade das atividades da MTI e clientes;

",01/01/2024,30/08/2024,,EM ANDAMENTO,"15,00%",TR para compra de suplimentos em elaboração.,,,,
R.UGSTI.10,"Prestação de serviço indevido, por falta de controle automatizado de Saldo de contas Google",Operacional,MODERADO,RESIDUAL,Assegurar que a planilha está atualizada para ter certeza que os clientes estão com saldo de contas,UGSTI,GSUP,Atualizar a planilha constantemente conforme a criação das contas para cada cliente,1 - Automatização do processo de atualização de contas,01/01/2024,31/12/2024,,EM ANDAMENTO,"41,66%",,,,,
R.UGGDC.01,Ataques Cibernéticos ,Estratégico,CRÍTICO,RESIDUAL,Implementar SOC - Fase 1,Hércules,GEDC,Efetuar Monitoramento Contínuo do Ambiente contra Ataques Cibernéticos,"A implementação envolve planejamento estratégico, investimento 
em tecnologia  e capacitação da equipe. O objetivo é garantir monitoramento 
contínuo,  detecção proativa de ameaças e resposta eficiente a incidentes

",06/03/2025,30/12/2026,"R$ 10.142.815,95",,,,,,,
R.UGGDC.02,Ataques Cibernéticos,Estratégico,CRÍTICO,RESIDUAL,"Implementar relatório mensal de vulnerabilidade  (tenable) para MT LOGIN, MT ID, PORTAIS LIFERAY, PORTAL DE SERVIÇOS (MT.GOV.BR), SIGADOC, MT CIDADÃO e REDE INFOVIA",Hércules,GEDC,"identificar as vulnerabilidades 
que precisam de atenção com 
verificação precisa e de alta 
velocidade e destaca quais 
vulnerabilidades devem 
ser tratadas primeiro","- Descoberta dos ativos na Rede da MTI 
- Varredura das Vulnerabilidades
- Classificação dos Riscos para cada Vulnerabilidade
- Recomendações de Mitiação
- Geração de Relatórios e Dashboards sobre o estado de segurança
",06/03/2025,31/12/2025,"R$ 0,00",,,,,,,
R.UGGDC.03,Ataques Cibernéticos ,Estratégico,CRÍTICO,RESIDUAL,Realizar dois eventos de conscientização para MTI,Saffyk ,UGGDC,Consciêntização e Aculturação de todos os colaboradores da Empresa,"Realizaremos dois eventos em cada semestrre, convidando pessoas renomadas e com vasta experiência sobre o assunto a ser abordado",06/03/2025,31/12/2025,"R$ 0,00",,,,,,,
R.UGGDC.04,"Ataques Cibernéticos | 26-Incidentes de segurança: 
Estabelecer um plano de resposta a incidentes de segurança para lidar com ataques cibernéticos - DTIC
",Estratégico,CRÍTICO,RESIDUAL,Implementar SOC - Fase 1,Hércules,GEDC,"Para que a equipe identifique e contenha rapidamente um ataque, limitando sua propagação e evitando dados para a empresa","Através de contratação de empresa especilializada especializada com equipes Red Team, Blue Team e Purple Team oferecendo serviços avançados de segurança cibernética, focados em simular ataques, defender sistemas e melhorar continuamente a postura de segurança da organização.",06/03/2025,30/12/2026,"R$ 0,00",,,,,,,
R.UGGDC.05,"Ataques Cibernéticos | 27-Testes de penetração: Realizar testes de penetração regularmente 
para identificar vulnerabilidades nos sistemas - DTIC",Estratégico,CRÍTICO,RESIDUAL,Implementar SOC - Fase 1,Hércules,GEDC,"Para garantir a segurança cibernética de uma organização, através de simulação de ataques reais para identificar vulnerabilidades e falhas de segurança antes que criminosos cibernéticos possam explorá-las.","Utilizando ferramentas de Pentest que revelam vulnerabilidades que podem passar despercebidas em verificações automatizadas, como configurações incorretas, falhas de software ou erros humanos.",06/03/2025,31/12/2025,"R$ 0,00",,,,,,,
R.UGGDC.06,Risco de Danos à Reputação | 29-Implementar monitoramento para evitar vazamento de dados - DTIC,Estratégico,ALTO,RESIDUAL,Implementar monitoramento mensal de vazamento de dados,Hércules,UGGDC,"O monitoramento para evitar vazamento de dados é uma medida crítica para proteger 
informações sensíveis, garantir a conformidade com regulamentações e manter 
a reputação da empresa.

","- Centralizar e analisa logs de segurança em tempo real. 
- Monitora e bloqueia a transferência não autorizada de dados sensíveis. 
- Identifica comportamentos anômalos de usuários e dispositivos. 
- Analisar o tráfego de rede para detectar atividades suspeitas. 
- Monitora dispositivos finais (endpoints) para detectar e responder a ameaças. 


",06/03/2025,31/12/2025,"R$ 0,00",,,,,,,
R.UGGDC.07,Risco de Danos à Reputação | 30-Monitorar a efetiva implementação do projeto de LGPD - DTIC,Estratégico,ALTO,RESIDUAL,Implementar monitoramento mensal de vazamento de dados,Saffyk,UGGDC,"Para garantir a conformidade com a legislação brasileira, proteger os dados pessoais de clientes, funcionários e parceiros, e evitar penalidades financeiras e danos à reputação a empresa.",Executanto e monitorando o contrato 009/2022 que tem como objetivo a contratação de empresa especializada para a realização de serviços especializados na Lei Geral de Proteção de Dados,06/03/2025,31/12/2025,"R$ 0,00",,,,,,,
R.UGGDC.08,Ataques Cibernéticos ,Operacional,CRÍTICO,RESIDUAL,Implementar esteira de codigo seguro para SIGADOC,"Marcos
Daniel",UGSDG,Para garantir que a segurança seja integrada desde as fases iniciais do ciclo de vida do software até a sua implantação.,"A integração requer processos, práticas e ferramentas de segurança em todas as etapas do ciclo de vida do desenvolvimento de software, garantindo que a segurança seja uma parte intrínseca do processo, desde o planejamento até a entrega e operação da aplicação",06/03/2025,31/12/2025,"R$ 0,00",,,,,,,
